bids_name,fd_perc,gcor,dummy_trs,gsr_x,gsr_y,aor,aqi,dvars_nstd,tsnr,fd_mean,spacing_tr
sub-001_ses-1_task-rest_run-1_bold,24.91357467150582,0.13668695797323277,,0.03387400631785948,0.027833310114143646,0.12999247474540088,,,128.57336358438815,0.2952665418846559,
sub-001_ses-1_task-rest_run-2_bold,29.34388797103648,0.14655426808606084,,0.02529847965068651,0.04932923543227153,0.24002886797439402,0.7299702033681603,1.2762152770114459,190.09985039390858,0.10397948834795996,2.9133026335272794
sub-001_ses-1_task-rest_run-3_bold,23.884035257941314,0.18503117489824894,4.0,0.03270801311279966,0.011252531698222344,0.3526854323784996,0.5248770666848828,1.0766051652012703,285.33177315875884,0.3181815987569263,1.989811153208753
sub-002_ses-1_task-rest_run-1_bold,9.131673476575063,0.10312728134823879,3.0,0.040889790771866295,0.017948627261366895,,0.7077307142274171,1.294800140693332,245.80143360819747,0.3313811040057838,1.6110669776011355
sub-002_ses-1_task-rest_run-2_bold,,0.12391884918766034,5.0,0.0404314019446759,0.03245108790277985,0.3312901539863683,0.5468977981821954,1.1659129805673958,185.5082036717099,,1.6618371404899568
sub-002_ses-1_task-rest_run-3_bold,9.030532181350111,0.2859395304685146,7.0,0.02182534743350856,,0.2369603711448731,0.4092202186084168,1.0915569635092564,276.65605178377365,0.19730350630158222,1.68313193205101
sub-003_ses-1_task-rest_run-1_bold,11.735308344963038,0.14882510444955482,,0.02292811728083021,0.030751624869734644,,0.481814801189647,1.4802474579046725,292.48945898842226,0.17553468874760925,2.245872758838578
sub-003_ses-1_task-rest_run-2_bold,29.641261352765017,0.1484110543023001,6.0,0.01323413305330861,0.02478617824245618,0.1726479814832278,0.701569878189948,1.129210444112227,296.6846281789686,0.21964733273336595,
sub-003_ses-1_task-rest_run-3_bold,28.5130816122401,0.17951440421750448,4.0,0.043508404236293124,0.03702760468157123,0.3205648357722317,0.40453581036885683,1.1790135816792962,239.15687986901645,0.16856500653918993,1.7624323906439043
sub-004_ses-1_task-rest_run-1_bold,,0.18090162542443802,3.0,0.03568126584617151,0.013365598599801954,0.14848861422838414,0.7492770942635396,1.224500341761713,101.83941032332594,0.13044146285980965,2.495252653662084
sub-004_ses-1_task-rest_run-2_bold,26.23058526235445,0.23152257846006866,3.0,0.031701609222195976,0.0303525630735504,0.29089978545576867,0.42523090930279206,1.2129095932923808,295.77857165500177,,2.8591481815778312
sub-004_ses-1_task-rest_run-3_bold,16.748612849773572,0.15591206835935173,5.0,0.039908750955896556,0.04812287388095813,0.19922509140115413,0.5763824834177449,,296.06631674320914,0.12260387680183847,1.9585455289307727
sub-005_ses-1_task-rest_run-1_bold,11.354091226743469,0.15905811768378775,4.0,0.03963074471016818,0.03788062963981072,0.3107452251961328,0.4797455756098776,1.0055142909851453,261.8722310957027,0.34303401840375425,
sub-005_ses-1_task-rest_run-2_bold,19.45700352490435,0.10718845475934842,3.0,0.01620166466910977,0.04927363553242124,0.3516800506208091,0.7302023091558376,0.9751759523611049,107.76694688588464,0.19097965440196685,2.305623640794983
sub-005_ses-1_task-rest_run-3_bold,29.238421677853975,0.2429190208359904,5.0,0.04180744779074815,0.02083329005048297,0.23169142621169087,0.33922819067113297,0.8177455203908203,292.529682935585,0.3507940361536618,2.543961309140547
